時間,使用者名稱,性別,動作,項目,點數
2025-12-08 23:45:46,james,👦,挑戰,完美通關: Rainy Day Coffee (雨天咖啡),100
2025-12-08 23:46:43,james,👦,挑戰,完美通關: The Lost Puppy (迷路小狗),100
2025-12-08 23:49:04,james,👦,挑戰,完美通關: Starry Night (星空之夜),100
2025-12-08 23:49:44,james,👦,挑戰,完美通關: Rainy Day Coffee (雨天咖啡),100
2025-12-08 23:49:55,james,👦,購買,🌸 櫻花季,-300
2025-12-08 23:50:06,james,👦,口說,Cherish,30
2025-12-08 23:50:36,james,👦,挑戰,完美通關: The Lost Puppy (迷路小狗),100
2025-12-08 23:51:20,james,👦,挑戰,完美通關: Starry Night (星空之夜),100
2025-12-08 23:52:01,james,👦,挑戰,完美通關: Rainy Day Coffee (雨天咖啡),100
2025-12-08 23:52:31,james,👦,挑戰,完美通關: The Lost Puppy (迷路小狗),100
2025-12-08 23:52:34,james,👦,購買,🐱 貪吃橘貓,-500
