時間,使用者名稱,性別,動作,項目,點數
2025-12-09 14:06:59,james,👦,挑戰,完美通關: Rainy Day Coffee (雨天咖啡),100
2025-12-09 14:07:36,aaa,👧,挑戰,完美通關: The Lost Puppy (迷路小狗),100
2025-12-09 14:08:01,james,👦,口說,Destiny,30
2025-12-09 14:08:04,aaa,👧,口說,Destiny,30
2025-12-09 14:09:27,aaa,👧,q_compliment,任務,35
2025-12-09 14:09:28,aaa,👧,q_feeling,任務,40
2025-12-09 14:09:29,aaa,👧,q_gratitude,任務,35
2025-12-09 14:09:42,james,👦,q_compliment,任務,35
2025-12-09 14:09:43,james,👦,q_feeling,任務,40
2025-12-09 14:09:45,james,👦,q_gratitude,任務,35
2025-12-09 14:16:11,aaa,👧,挑戰,完美通關: Starry Night (星空之夜),100
2025-12-09 14:17:04,aaa,👧,挑戰,完美通關: Cooking Together (一起做飯),100
2025-12-09 14:21:28,aaa,👧,挑戰,完美通關: Movie Night (電影之夜),100
2025-12-09 14:21:40,aaa,👧,購買,🐱 貪吃橘貓,-500
2025-12-09 14:23:36,james,👦,挑戰,完美通關: The Surprise (驚喜),100
2025-12-09 14:23:36,james,👦,挑戰,完美通關: Beach Day (海灘日),100
2025-12-09 14:23:51,james,👦,購買,🌸 櫻花季,-300
